releaseid,releasename,institutionid,institutionname,programid,programname,facultycount,pub2010,pub2011,pub2012,pub2013,cit2009,cit2010,cit2011,cit2012,cit2013,book2004,book2005,book2006,book2007,book2008,book2009,book2010,book2011,book2012,book2013,grant2009,grant2010,grant2011,grant2012,grant2013,award2004,award2005,award2006,award2007,award2008,award2009,award2010,award2011,award2012,award2013,confproc2010,confproc2011,confproc2012,confproc2013,nsfdol,doeddol,doedol,nihdol,usdadol,noaadol,ahadol,armydol,faadol,nasadol,navydol,acsdol,hhsdol,afrodol,epadol,neadol,nehdol,acsnum,hhsnum,afronum,epanum,neanum,nehnum,nsfnum,doednum,nihnum,usdanum,noaanum,ahanum,armynum,faanum,nasanum,navynum,doenum,createddate
"20150223.397","AAD2013.04.397",81,"Georgetown University",9845,"Theological and Religious Studies",29,10,5,8,8,5,2,2,1,0,10,8,4,8,14,6,9,11,8,8,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",81,"Georgetown University",1212,"Tumor Biology",23,85,98,95,113,1702,937,847,1228,221,0,0,0,0,0,0,0,0,1,0,8,4,0,5,2,0,0,0,0,1,0,0,0,0,0,1,1,4,2,0.00,0.00,363383.00,13289875.00,0.00,0.00,0.00,0.00,0.00,1155021.00,8172672.00,0.00,0.00,0.00,150264.00,0.00,0.00,0,0,0,1,0,0,0,0,47,0,0,0,0,0,2,2,1,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1936,"Biochemistry and Molecular Biology",21,55,65,38,61,1178,642,810,291,272,0,0,0,0,0,0,0,0,0,0,4,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,5994498.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",9909,"Biostatistics",12,36,46,32,46,293,692,670,209,197,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,261217.00,0.00,0.00,318291.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1937,"Cellular Biology and Anatomy",22,50,58,39,53,553,483,708,979,245,0,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,5048561.00,0.00,0.00,0.00,0.00,0.00,0.00,235471.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1938,"Genomic Medicine",11,29,48,22,37,428,382,958,153,196,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00,0.00,0.00,2889198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1939,"Molecular Medicine",25,90,75,63,86,1155,1495,936,554,458,0,0,0,0,1,0,0,1,0,1,4,2,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,332556.00,0.00,170706.00,8390542.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,0,1,2/23/2015 9:33:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1940,"Neuroscience",38,119,138,112,112,1219,1676,1292,625,441,0,0,0,0,2,0,0,0,0,1,3,9,3,7,7,0,0,0,0,1,1,1,1,0,2,0,1,0,0,744576.00,0.00,0.00,12870329.00,0.00,0.00,0.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,5,0,56,0,0,0,1,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1941,"Nursing",43,14,11,11,13,87,28,47,8,14,4,3,1,4,2,3,1,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,258031.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
"20150223.397","AAD2013.04.397",125,"Georgia Health Sciences University",1942,"Oral Biology and Maxillofacial Pathology",13,98,86,73,83,845,1222,908,413,205,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,807255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2/23/2015 9:32:00 AM
